chr1	start1	end1	chr2	start2	end2	strand	length	identity	score	n_seeds	seed_density	context
chr1	431796	703143	chr1	559499	830865	+	271347	0.2495	0.0010	46	0.002	intra
chr1	468198	839683	chr1	2567646	2939481	-	371485	0.2754	0.0009	46	0.002	intra
chr1	483373	927151	chr1	992204	1435921	-	443717	0.2595	0.0008	58	0.002	intra
chr1	610355	1018216	chr1	1246294	1654083	+	407789	0.2415	0.0009	59	0.002	intra
chr1	643791	924162	chr1	1271437	1551961	-	280371	0.2355	0.0010	49	0.002	intra
chr1	650775	763327	chr1	2377403	2490528	+	112552	0.2527	0.0562	34470	4.288	intra
chr1	680053	1067292	chr1	757335	1144195	+	386860	0.2682	0.0009	50	0.002	intra
chr1	689611	971767	chr1	1294232	1576211	-	281979	0.2570	0.0010	46	0.002	intra
chr1	714321	1090088	chr1	1014456	1390066	+	375610	0.2754	0.0009	50	0.002	intra
chr1	900521	1300736	chr1	1439003	1839112	+	400109	0.2557	0.0008	53	0.002	intra
chr1	1015055	1055153	chr1	2324447	2364789	+	40098	0.2532	0.1100	2606	0.910	intra
chr1	1026049	1277343	chr1	1182825	1433951	+	251126	0.2418	0.1219	16197	0.903	intra
chr1	1102896	1377455	chr1	1381090	1655682	-	274559	0.2622	0.0011	47	0.002	intra
chr1	1122471	1216221	chr1	2274889	2368149	+	93260	0.2582	0.0576	28147	4.225	intra
chr1	1201860	1377356	chr1	1950708	2126215	-	175496	0.2393	0.1169	19871	1.585	intra
chr1	1206339	1438443	chr1	1671491	1903239	+	231748	0.2809	0.1472	22486	1.358	intra
chr1	1218502	1424515	chr1	1421727	1627792	+	206013	0.2637	0.1339	17032	1.157	intra
chr1	1237025	1339546	chr1	2107545	2209159	+	101614	0.2622	0.0414	43927	6.052	intra
chr1	1241577	1386747	chr1	1445807	1590906	+	145099	0.2597	0.0373	70785	6.830	intra
chr1	1246535	1437219	chr1	1891746	2081468	-	189722	0.2610	0.1311	19875	1.467	intra
chr1	1267596	1326032	chr1	1801765	1859847	+	58082	0.2465	0.0509	17938	4.324	intra
chr1	1344128	1658727	chr1	2390704	2705565	-	314599	0.2475	0.0009	50	0.002	intra
chr1	1353987	1409464	chr1	1786339	1841934	+	55477	0.2488	0.1109	3504	0.884	intra
chr1	1401544	1743634	chr1	2437874	2781005	-	342090	0.2637	0.0010	53	0.002	intra
chr1	1405169	1551794	chr1	2071214	2217339	+	146125	0.2627	0.1294	18783	1.800	intra
chr1	1408779	1778045	chr1	2470629	2840531	+	369266	0.2368	0.0008	52	0.002	intra
chr1	1447201	1590171	chr1	1776132	1919180	+	142970	0.2681	0.1125	24092	2.359	intra
chr1	1451309	1577304	chr1	1953845	2080742	-	125995	0.2450	0.1170	5644	0.627	intra
chr1	1491218	1853796	chr1	2284792	2646887	+	362095	0.2567	0.0008	46	0.002	intra
chr1	1491259	1523010	chr1	2008911	2041112	-	31751	0.2507	0.0856	5632	2.483	intra
chr1	1497141	1530209	chr1	1826595	1859857	+	33068	0.2473	0.0206	24074	10.192	intra
chr1	1601725	1639416	chr1	1784875	1822388	+	37513	0.2426	0.1037	3607	1.346	intra
chr1	1615238	1829133	chr1	1867387	2080802	+	213415	0.2605	0.0910	44226	2.901	intra
chr1	1704568	2052778	chr1	2471883	2820822	-	348210	0.2458	0.0008	49	0.002	intra
chr1	1785428	1919574	chr1	2121395	2255720	+	134146	0.2515	0.1215	11763	1.228	intra
chr1	1790062	1851700	chr1	2452765	2513942	-	61177	0.2712	0.0650	16830	3.851	intra
chr1	1805389	1891865	chr1	1969948	2056728	-	86476	0.2634	0.1242	3144	0.509	intra
chr1	1899974	2219918	chr1	2543919	2864400	+	319944	0.2692	0.0009	45	0.002	intra
chr1	1962312	2075775	chr1	2373371	2487310	-	113463	0.2856	0.1420	2714	0.335	intra
chr1	1967805	2377548	chr1	2187147	2597408	+	409743	0.2545	0.0009	56	0.002	intra
chr1	2017163	2093606	chr1	2103940	2181363	-	76443	0.2644	0.1018	13240	2.425	intra
chr1	2493620	2568756	chr1	2608691	2684436	+	75136	0.2745	0.0909	15306	2.852	intra
chr1	2615682	2696824	chr1	2655564	2737542	+	81142	0.2725	0.1292	10913	1.883	intra
